Soda Name,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient,Ingredient
Coca-Cola Soda Pop Classic,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavor, Caffeine
Coca-Cola Soda Pop Caffeine Free,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavor
Diet Coke Soda Pop Cola,Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Natural Flavor, Citric Acid, Caffeine
Pepsi Soda Twist Diet,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor
Fresca Soda Flavored Sparkling Sugar Free Zero Calorie Black Cherry Citrus In Can,Ingredients: Carbonated Water, Citric Acid, Natural And Artificial Flavors, Potassium Citrate, Concentrated Grapefruit Juice, Aspartame, Potassium Sorbate , Acesulfame Potassium, Acacia Gum, Potassium Benzoate, Glycerol Ester Of Rosin, Calcium Disodium Edta , Carob Bean Gum
Pepsi Soda Cola,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor
Pepsi Soda Diet Vanilla,Carbonated Water, Caramel Color, Natural And Artificial Flavors, Phosphoric Acid, Aspartame, Potassium Benzoate, Potassium Citrate, Caffeine, Acesulfame Potassium, Vanilla Extract, Citric Acid, Calcium Disodium Edta
Coca-Cola Soda Pop Classic,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural Flavor, Caffeine
,Filtered Carbonated Water, High Fructose Corn Syrup, Natural Citric Acid, Natural Flavor, Natural Potassium Citrate
Dr Pepper Diet Soda Cans,Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Natural And Artificial Flavors, Sodium Benzoate, Caffeine
Pepsi Soda Diet,Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Caffeine, Citric Acid, Natural Flavor, Acesulfame Potassium
Diet Coke Soda Pop With Lime,Carbonated Water, Caramel Color, Natural Flavor, Phosphoric Acid, Potassium Benzoate, Aspartame, Citric Acid, Acesulfame Potassium, Caffeine
Coke Soda Diet With Lime,Carbonated Water, High Fructose Corn Syrup, Natural Flavor, Citric Acid, Sodium Benzoate, Gum Arabic, Caffeine, Sodium Citrate, Red 40, Glycerol Ester Of Rosin, Calcium Disodium Edta, Blue 1, Caramel Color
Pepsi Soda Cola Wild Cherry,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Natural Flavor, Caffeine, Citric Acid
RC Cola Soda In Can,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Caffeine, Natural Flavor, Acacia Gum
Diet Rite Cola Soda Bottle,Carbonated Water, Caramel Color, Phosphoric Acid, Sucralose, Citric Acid, Potassium Benzoate, Acesulfame Potassium, Natural Flavor, Acacia Gum, Potassium Citrate
Dr Pepper Soda Bottle,Carbonated Water, High Fructose Corn Syrup, Caramel Color, Phosphoric Acid, Natural And Artificial Flavors, Sodium Benzoate, Caffeine
Pepsi Soda Diet,Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Caffeine, Citric Acid, Natural Flavor, Acesulfame Potassium
Pepsi Soda Diet,Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Caffeine, Citric Acid, Natural Flavor, Acesulfame Potassium
Coca-Cola Soda Pop Cherry Zero Sugar,Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate, Natural Flavor, Acesulfame Potassium, Potassium Citrate, Caffeine
Pepsi Max Soda Cola Zero Sugar,Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate, Caffeine, Natural Flavor, Acesulfame Potassium, Citric Acid, Calcium Disodium Edta, Panax Ginseng Root Extract
Sprite Soda Pop Lemon Lime,Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavor, Sodium Citrate, Sodium benzoate
,Filtered Carbonated Water, High Fructose Corn Syrup, Citric Acid, Potassium Citrate, Potassium Benzoate, Natural Flavor, Red 40, Blue 1
Manzanita Sol Soda Apple,Carbonated Water, High Fructose Corn Syrup, Apple Juice Concentrate, Malic Acid, Natural And Artificial Flavor, Caramel Color, Sodium Benzoate, Potassium Sorbate, Calcium Disodium Edta
Diet Coke Soda Pop Sweetened With Plenda,Carbonated Water, Caramel Color, Phosphoric Acid, Natural Flavor, Potassium, benzoateAnd Sodium Phosphate, Sucralose, Caffeine, Acesulfame Potassium, Citric Acid, Tartaric Acid
Pepsi Soda Diet Caffeine Free,Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Citric Acid, Natural Flavor, Acesulfame Potassium
Pepsi Soda Diet Caffeine Free,Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Citric Acid, Natural Flavor, Acesulfame Potassium
Pepsi Soda Diet Wild Cherry,Carbonated Water, Caramel Color, Phosphoric Acid, Natural Flavor, Aspartame, Potassium Benzoate, Potassium Citrate, Citric Acid, Caffeine, Acesulfame Potassium, Calcium Disodium Edta
Pepsi Soda Diet Lime,Carbonated Water, Caramel Color, Natural Flavor, Phosphoric Acid, Aspartame, Citric Acid, Potassium Citrate, Caffeine, Potassium Sorbate, Acesulfame Potassium
Canada Dry Soda Zero Sugar Ginger Ale,Carbonated Water And Less Than 2% Of: Ginger Extract, Natural Flavor, Citric Acid, Malic Acid, Sodium Citrate, Sodium Benzoate, Calcium Disodium Edta, Aspartame, Acesulfame Potassium, Caramel Color
A,Carbonated Water, Caramel Color, Sodium Benzoate, Aspartame, Acesulfame Potassium, Natural And Artificial Flavors, Malic Acid, Quillaia Extract
Pepsi Soda Diet,Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate, Caffeine, Citric Acid, Natural Flavor, Acesulfame Potassium
Coca-Cola Zero Sugar Soda Fridge Pack Cans,Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate, Natural Flavor, Potassium Citrate, Acesulfame Potassium, Caffeine
Coca-Cola Zero Sugar Soda Bottle,Ingredients: Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate, Natural Flavor, Potassium Citrate, Acesulfame Potassium, Caffeine
Coca-Cola Zero Sugar Soda Bottle,Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate, Natural Flavor, Potassium Citrate, Acesulfame Potassium, Caffeine
Coca-Cola Soda Pop Cherry Zero Sugar,Carbonated Water, Caramel Color, Phosphoric Acid, Aspartame, Potassium Benzoate, Natural Flavor, Acesulfame Potassium, Potassium Citrate, Caffeine
